[Gene ID]	[source_id]	[Input Ortholog(s)]	
CNA00570	CNA00570-t26_1	 CNAG_00066	
CNA00580	CNA00580-t26_1	 CNAG_00067	
CNA00590	CNA00590-t26_1	 CNAG_00068	
CNA00600	CNA00600-t26_1	 CNAG_00069	
CNA00610	CNA00610-t26_1	 CNAG_00070	
CNA00620	CNA00620-t26_1	 CNAG_00072	
CNA00630	CNA00630-t26_1	 CNAG_00073	
CNA00640	CNA00640-t26_1	 CNAG_00074	
CNA00650	CNA00650-t26_1	 CNAG_00075	
CNA00660	CNA00660-t26_1	 CNAG_00076	
CNA00670	CNA00670-t26_1	 CNAG_00077	
CNA00680	CNA00680-t26_1	 CNAG_00078	
CNA00690	CNA00690-t26_1	 CNAG_00079	
CNA00700	CNA00700-t26_1	 CNAG_00080	
CNA00700	CNA00700-t26_2	 CNAG_00080	
CNA00710	CNA00710-t26_1	 CNAG_00081	
CNA00720	CNA00720-t26_1	 CNAG_00082	
CNA00730	CNA00730-t26_1	 CNAG_00083	
CNA00740	CNA00740-t26_1	 CNAG_00084	
CNA00750	CNA00750-t26_1	 CNAG_00085	
CNA00760	CNA00760-t26_1	 CNAG_00086	
CNA00770	CNA00770-t26_1	 CNAG_00087	
CNA00780	CNA00780-t26_1	 CNAG_00088	
CNA00790	CNA00790-t26_1	 CNAG_00089	
CNA00800	CNA00800-t26_1	 CNAG_00090	
CNA00820	CNA00820-t26_1	 CNAG_00091	
CNA00830	CNA00830-t26_1	 CNAG_00092	
CNA00840	CNA00840-t26_1	 CNAG_00093	
CNA00850	CNA00850-t26_1	 CNAG_00094	
CNA00860	CNA00860-t26_1	 CNAG_00095	
CNA00870	CNA00870-t26_1	 CNAG_00096	
CNA00880	CNA00880-t26_1	 CNAG_00097	
CNA00890	CNA00890-t26_1	 CNAG_00098	
CNA00900	CNA00900-t26_1	 CNAG_00099	
CNA00910	CNA00910-t26_1	 CNAG_00100	
CNA00920	CNA00920-t26_1	 CNAG_00101	
CNA00930	CNA00930-t26_1	 CNAG_07309	
CNA00940	CNA00940-t26_1	 CNAG_07310	
CNA00950	CNA00950-t26_1	 CNAG_00104	
CNA00960	CNA00960-t26_1	 CNAG_00105	
CNA00970	CNA00970-t26_1	 CNAG_00106	
CNA00980	CNA00980-t26_1	 CNAG_00107	
CNA00990	CNA00990-t26_1	 CNAG_00108	
CNA01000	CNA01000-t26_1	 CNAG_00109	
CNA01010	CNA01010-t26_1	 CNAG_00110	
CNA01020	CNA01020-t26_1	 CNAG_00111	
CNA01030	CNA01030-t26_1	 CNAG_07311	
CNA01040	CNA01040-t26_1	 CNAG_07312	
CNA01050	CNA01050-t26_1	 CNAG_00115	
CNA01060	CNA01060-t26_1	 CNAG_00116	
CNA01070	CNA01070-t26_1	 CNAG_00117	
CNA01080	CNA01080-t26_1	 CNAG_00118	
CNA01090	CNA01090-t26_1	 CNAG_00119	
CNA01095	CNA01095-t26_1	 CNAG_00120	
CNA01100	CNA01100-t26_1	 CNAG_00121	
CNA01100	CNA01100-t26_2	 CNAG_00121	
CNA01110	CNA01110.mRNA	 CNAG_12017	
CNA01120	CNA01120-t26_1	 CNAG_00122	
CNA01130	CNA01130-t26_1	 CNAG_00123	
CNA01140	CNA01140-t26_1	 CNAG_00124	
CNA01150	CNA01150-t26_1	 CNAG_00125	
CNA01160	CNA01160-t26_1	 CNAG_00126	
CNA01170	CNA01170-t26_1	 CNAG_00129	
CNA01180	CNA01180-t26_1	 CNAG_00130	
CNA01180	CNA01180-t26_2	 CNAG_00130	
CNA01190	CNA01190-t26_1	 CNAG_00131	
CNA01200	CNA01200-t26_1	 CNAG_00132	
CNA01205	CNA01205-t26_1	 CNAG_00133	
CNA01210	CNA01210-t26_1	 CNAG_00134	
CNA01220	CNA01220-t26_1	 CNAG_00135	
CNA01230	CNA01230-t26_1	 CNAG_00136	
CNA01240	CNA01240-t26_1	 CNAG_00137	
CNA01250	CNA01250-t26_1	 CNAG_00138	
CNA01260	CNA01260-t26_1	 CNAG_00139	
CNA01270	CNA01270-t26_1	 CNAG_00140	
CNA01280	CNA01280-t26_1	 CNAG_00141	
CNA01290	CNA01290-t26_1	 CNAG_00142	
CNA01300	CNA01300.mRNA	 CNAG_12023	
CNA01310	CNA01310-t26_1	 CNAG_00143	
CNA01320	CNA01320-t26_1	 CNAG_00144	
CNA01330	CNA01330-t26_1	 CNAG_00145	
CNA01340	CNA01340-t26_1	 CNAG_00146	
CNA01350	CNA01350-t26_1	 CNAG_00147	
CNA01360	CNA01360-t26_1	 CNAG_00148	
CNA01370	CNA01370-t26_1	 CNAG_00149	
CNA01380	CNA01380-t26_1	 CNAG_00150	
CNA01390	CNA01390-t26_1	 CNAG_00151	
CNA01390	CNA01390-t26_2	 CNAG_00151	
CNA01400	CNA01400-t26_1	 CNAG_00152	
CNA01400	CNA01400-t26_2	 CNAG_00152	
CNA01410	CNA01410-t26_1	 CNAG_00153	
CNA01420	CNA01420-t26_1	 CNAG_00154	
CNA01430	CNA01430-t26_1	 CNAG_00155	
CNA01440	CNA01440-t26_1	 CNAG_12025	
CNA01450	CNA01450-t26_1	 CNAG_00156	
CNA01460	CNA01460-t26_1	 CNAG_00157	
CNA01470	CNA01470-t26_1	 CNAG_00158	
CNA01480	CNA01480-t26_1	 CNAG_00160	
CNA01490	CNA01490-t26_1	 CNAG_00161	
CNA01500	CNA01500-t26_1	 CNAG_00162	
CNA01510	CNA01510-t26_1	 CNAG_00163	
CNA01510	CNA01510-t26_2	 CNAG_00163	
CNA01520	CNA01520-t26_1	 CNAG_00164	
CNA01530	CNA01530-t26_1	 CNAG_00165	
CNA01540	CNA01540-t26_1	 CNAG_00166	
CNA01550	CNA01550-t26_1	 CNAG_00167	
CNA01560	CNA01560-t26_1	 CNAG_07314	
CNA01580	CNA01580-t26_1	 CNAG_07315	
CNA01590	CNA01590-t26_1	 CNAG_00171	
CNA01600	CNA01600-t26_1	 CNAG_00172	
CNA01610	CNA01610-t26_1	 CNAG_00173	
CNA01620	CNA01620-t26_1	 CNAG_00174	
CNA01630	CNA01630-t26_1	 CNAG_00175	
CNA01640	CNA01640-t26_1	 CNAG_00176	
CNA01650	CNA01650-t26_1	 CNAG_00177	
CNA01660	CNA01660-t26_1	 CNAG_00178	
CNA01680	CNA01680-t26_1	 CNAG_00179	
CNA01690	CNA01690-t26_1	 CNAG_00180	
CNA01700	CNA01700-t26_1	 CNAG_00181	
CNA01710	CNA01710-t26_1	 CNAG_00182	
CNA01720	CNA01720-t26_1	 CNAG_00183	
CNA01730	CNA01730-t26_1	 CNAG_00184	
CNA01740	CNA01740-t26_1	 CNAG_00185	
CNA01750	CNA01750-t26_1	 CNAG_00186	
CNA01760	CNA01760-t26_1	 CNAG_00187	
CNA01770	CNA01770-t26_1	 CNAG_00188	
CNA01780	CNA01780-t26_1	 CNAG_00189	
CNA01790	CNA01790-t26_1	 CNAG_00190	
CNA01800	CNA01800-t26_1	 CNAG_00191	
CNA01800	CNA01800-t26_2	 CNAG_00191	
CNA01810	CNA01810-t26_1	 CNAG_00192	
CNA01820	CNA01820-t26_1	 CNAG_00193	
CNA01830	CNA01830-t26_1	 CNAG_00194	
CNA01840	CNA01840-t26_1	 CNAG_00195	
CNA01850	CNA01850-t26_1	 CNAG_07316	
CNA01860	CNA01860-t26_1	 CNAG_07317	
CNA01870	CNA01870-t26_1	 CNAG_07318	
CNA01880	CNA01880-t26_1	 CNAG_07319	
CNA01890	CNA01890-t26_1	 CNAG_07320	
CNA01900	CNA01900-t26_1	 CNAG_07321	
CNA01910	CNA01910-t26_1	 CNAG_07322	
CNA01920	CNA01920-t26_1	 CNAG_07323	
CNA01930	CNA01930-t26_1	 CNAG_07324	
CNA01940	CNA01940-t26_1	 CNAG_07325	
CNA01950	CNA01950-t26_1	 CNAG_07326	
CNA01960	CNA01960-t26_1	 CNAG_07327	
CNA01990	CNA01990-t26_1	 CNAG_07328	
CNA01990	CNA01990-t26_2	 CNAG_07328	
CNA02000	CNA02000-t26_1	 CNAG_07329	
CNA02010	CNA02010-t26_1	 CNAG_07330	
CNA02015	CNA02015-t26_1	 CNAG_07331	
CNA02020	CNA02020-t26_1	 CNAG_07332	
CNA02030	CNA02030-t26_1	 CNAG_07333	
CNA02040	CNA02040-t26_1	 CNAG_07334	
CNA02050	CNA02050-t26_1	 CNAG_07335	
CNA02055	CNA02055-t26_1	 CNAG_07336	
CNA02060	CNA02060-t26_1	 CNAG_07337	
CNA02080	CNA02080-t26_1	 CNAG_07030	
CNA02090	CNA02090-t26_1	 CNAG_07029	
CNA02100	CNA02100-t26_1	 CNAG_07028	
CNA02110	CNA02110-t26_1	 CNAG_10000	
CNA02130	CNA02130-t26_1	 CNAG_07027	
CNA02140	CNA02140-t26_1	 CNAG_07338	
CNA02150	CNA02150-t26_1	 CNAG_07339	
CNA02160	CNA02160-t26_1	 CNAG_07340	
CNA02170	CNA02170-t26_1	 CNAG_07341	
CNA02180	CNA02180-t26_1	 CNAG_07342	
CNA02190	CNA02190-t26_1	 CNAG_10001	
CNA02200	CNA02200-t26_1	 CNAG_10002	
CNA02210	CNA02210-t26_1	 CNAG_00231	
CNA02220	CNA02220-t26_1	 CNAG_00232	
CNA02230	CNA02230-t26_1	 CNAG_00233	
CNA02240	CNA02240-t26_1	 CNAG_00234	
CNA02250	CNA02250-t26_1	 CNAG_00235	
CNA02260	CNA02260-t26_1	 CNAG_00236	
CNA02260	CNA02260-t26_2	 CNAG_00236	
CNA02270	CNA02270-t26_1	 CNAG_00237	
CNA02280	CNA02280-t26_1	 CNAG_10003	
CNA02290	CNA02290-t26_1	 CNAG_00238	
CNA02300	CNA02300-t26_1	 CNAG_00239	
CNA02310	CNA02310-t26_1	 CNAG_00240	
CNA02320	CNA02320-t26_1	 CNAG_10004	
CNA02330	CNA02330-t26_1	 CNAG_00241	
CNA02335	CNA02335-t26_1	 CNAG_00242	
CNA02340	CNA02340-t26_1	 CNAG_00243	
CNA02350	CNA02350-t26_1	 CNAG_07344	
CNA02360	CNA02360-t26_1	 CNAG_00246	
CNA02370	CNA02370-t26_1	 CNAG_00247	
CNA02380	CNA02380-t26_1	 CNAG_00248	
CNA02390	CNA02390-t26_1	 CNAG_00249	
CNA02400	CNA02400-t26_1	 CNAG_00250	
CNA02405	CNA02405-t26_1	 CNAG_00251	
CNA02410	CNA02410-t26_1	 CNAG_00252	
CNA02420	CNA02420-t26_1	 CNAG_00253	
CNA02430	CNA02430-t26_1	 CNAG_00254	
CNA02440	CNA02440-t26_1	 CNAG_00255	
CNA02450	CNA02450-t26_1	 CNAG_00256	
CNA02460	CNA02460-t26_1	 CNAG_00257	
CNA02470	CNA02470-t26_1	 CNAG_00258	
CNA02480	CNA02480-t26_1	 CNAG_00259	
CNA02490	CNA02490-t26_1	 CNAG_00260	
CNA02520	CNA02520-t26_1	 CNAG_00261	
CNA02530	CNA02530-t26_1	 CNAG_00262	
CNA02535	CNA02535-t26_1	 CNAG_00263	
CNA02540	CNA02540-t26_1	 CNAG_00264	
CNA02550	CNA02550-t26_1	 CNAG_00265	
CNA02555	CNA02555-t26_1	 CNAG_00266	
CNA02560	CNA02560-t26_1	 CNAG_00267	
CNA02570	CNA02570-t26_1	 CNAG_00268	
CNA02580	CNA02580-t26_1	 CNAG_00269	
CNA02590	CNA02590-t26_1	 CNAG_00270	
CNA02600	CNA02600-t26_1	 CNAG_00271	
CNA02610	CNA02610-t26_1	 CNAG_00272	
CNA02620	CNA02620-t26_1	 CNAG_00273	
CNA02625	CNA02625-t26_1	 CNAG_00274	
CNA02630	CNA02630-t26_1	 CNAG_00275	
CNA02640	CNA02640-t26_1	 CNAG_00276	
CNA02645	CNA02645-t26_1	 CNAG_00277	
CNA02650	CNA02650-t26_1	 CNAG_00278	
CNA02660	CNA02660-t26_1	 CNAG_00279	
CNA02670	CNA02670-t26_1	 CNAG_00280	
CNA02680	CNA02680-t26_1	 CNAG_07345	
CNA02690	CNA02690-t26_1	 CNAG_07114	
CNA02700	CNA02700-t26_1	 CNAG_07346	
CNA02710	CNA02710-t26_1	 CNAG_00283	
CNA02720	CNA02720-t26_1	 CNAG_00284	
CNA02730	CNA02730-t26_1	 CNAG_00285	
CNA02740	CNA02740-t26_1	 CNAG_00286	
CNA02750	CNA02750-t26_1	 CNAG_00287	
CNA02760	CNA02760-t26_1	 CNAG_00288	
CNA02770	CNA02770-t26_1	 CNAG_00289	
CNA02780	CNA02780-t26_1	 CNAG_00290	
CNA02790	CNA02790-t26_1	 CNAG_00291	
CNA02800	CNA02800-t26_1	 CNAG_00292	
CNA02810	CNA02810-t26_1	 CNAG_00293	
CNA02820	CNA02820-t26_1	 CNAG_00294	
CNA02830	CNA02830-t26_1	 CNAG_07347	
CNA02840	CNA02840-t26_1	 CNAG_07348	
CNA02845	CNA02845-t26_1	 CNAG_07349	
CNA02850	CNA02850-t26_1	 CNAG_00299	
CNA02860	CNA02860-t26_1	 CNAG_00300	
CNA02870	CNA02870-t26_1	 CNAG_00301	
CNA02875	CNA02875-t26_1	 CNAG_00302	
CNA02880	CNA02880-t26_1	 CNAG_00303	
CNA02885	CNA02885-t26_1	 CNAG_00304	
CNA02890	CNA02890-t26_1	 CNAG_00305	
CNA02895	CNA02895-t26_1	 CNAG_07949	
CNA02900	CNA02900-t26_1	 CNAG_00306	
CNA02905	CNA02905-t26_1	 CNAG_00307	
CNA02910	CNA02910-t26_1	 CNAG_00308	
CNA02920	CNA02920-t26_1	 CNAG_00309	
CNA02930	CNA02930-t26_1	 CNAG_00310	
CNA02940	CNA02940-t26_1	 CNAG_00311	
CNA02950	CNA02950-t26_1	 CNAG_00312	
CNA02960	CNA02960-t26_1	 CNAG_00313	
CNA02970	CNA02970-t26_1	 CNAG_00314	
CNA02980	CNA02980-t26_1	 CNAG_00315	
CNA02990	CNA02990-t26_1	 CNAG_07350	
CNA03000	CNA03000-t26_1	 CNAG_00316	
CNA03020	CNA03020-t26_1	 CNAG_00317	
CNA03030	CNA03030-t26_1	 CNAG_00318	
CNA03040	CNA03040-t26_1	 CNAG_00319	
CNA03050	CNA03050-t26_1	 CNAG_00320	
CNA03060	CNA03060-t26_1	 CNAG_00321	
CNA03065	CNA03065-t26_1	 CNAG_00322	
CNA03070	CNA03070-t26_1	 CNAG_07351	
CNA03090	CNA03090-t26_1	 CNAG_00326	
CNA03095	CNA03095-t26_1	 CNAG_00327	
CNA03100	CNA03100-t26_1	 CNAG_00328	
CNA03110	CNA03110-t26_1	 CNAG_00329	
CNA03120	CNA03120-t26_1	 CNAG_00330	
CNA03130	CNA03130-t26_1	 CNAG_00331	
CNA03140	CNA03140-t26_1	 CNAG_00332	
CNA03150	CNA03150-t26_1	 CNAG_00333	
CNA03160	CNA03160-t26_1	 CNAG_00334	
CNA03170	CNA03170-t26_1	 CNAG_00335	
CNA03180	CNA03180-t26_1	 CNAG_00337	
CNA03190	CNA03190-t26_1	 CNAG_07352	
CNA03200	CNA03200-t26_1	 CNAG_07353	
CNA03210	CNA03210-t26_1	 CNAG_07354	
CNA03220	CNA03220-t26_1	 CNAG_07355	
CNA03230	CNA03230-t26_1	 CNAG_10005	
CNA03240	CNA03240-t26_1	 CNAG_00342	
CNA03250	CNA03250-t26_1	 CNAG_00343	
CNA03270	CNA03270-t26_1	 CNAG_10009	
CNA03280	CNA03280-t26_1	 CNAG_00375	
CNA03290	CNA03290-t26_1	 CNAG_00374	
CNA03300	CNA03300-t26_1	 CNAG_00373	
CNA03310	CNA03310-t26_1	 CNAG_00372	
CNA03320	CNA03320-t26_1	 CNAG_00371	
CNA03330	CNA03330-t26_1	 CNAG_00370	
CNA03340	CNA03340-t26_1	 CNAG_00369	
CNA03350	CNA03350-t26_1	 CNAG_00368	
CNA03360	CNA03360-t26_1	 CNAG_00367	
CNA03370	CNA03370-t26_1	 CNAG_00366	
CNA03380	CNA03380-t26_1	 CNAG_00365	
CNA03390	CNA03390-t26_1	 CNAG_00364	
CNA03400	CNA03400-t26_1	 CNAG_00363	
CNA03410	CNA03410-t26_1	 CNAG_00362	
CNA03420	CNA03420-t26_1	 CNAG_00361	
CNA03430	CNA03430-t26_1	 CNAG_00360	
CNA03450	CNA03450-t26_1	 CNAG_00359	
CNA03460	CNA03460-t26_1	 CNAG_00358	
CNA03470	CNA03470-t26_1	 CNAG_00357	
CNA03480	CNA03480-t26_1	 CNAG_00356	
CNA03490	CNA03490-t26_1	 CNAG_00355	
CNA03500	CNA03500-t26_1	 CNAG_00354	
CNA03510	CNA03510-t26_1	 CNAG_00353	
CNA03520	CNA03520-t26_1	 CNAG_00352	
CNA03523	CNA03523-t26_1	 CNAG_00351	
CNA03525	CNA03525-t26_1	 CNAG_07253	
CNA03530	CNA03530-t26_1	 CNAG_07356	
CNA03540	CNA03540-t26_1	 CNAG_00349	
CNA03550	CNA03550-t26_1	 CNAG_00348	
CNA03560	CNA03560-t26_1	 CNAG_00347	
CNA03570	CNA03570-t26_1	 CNAG_00346	
CNA03580	CNA03580-t26_1	 CNAG_00345	
CNA03590	CNA03590-t26_1	 CNAG_00344	
CNA03600	CNA03600-t26_1	 CNAG_00377	
CNA03720	CNA03720-t26_1	 CNAG_00383	
CNA03725	CNA03725-t26_1	 CNAG_00384	
CNA03730	CNA03730-t26_1	 CNAG_00385	
CNA03740	CNA03740-t26_1	 CNAG_00386, CNAG_00402	
CNA03750	CNA03750-t26_1	 CNAG_00387	
CNA03760	CNA03760-t26_1	 CNAG_00388	
CNA03770	CNA03770-t26_1	 CNAG_00389	
CNA03780	CNA03780-t26_1	 CNAG_07951	
CNA03790	CNA03790-t26_1	 CNAG_00390	
CNA03795	CNA03795-t26_1	 CNAG_00391	
CNA03800	CNA03800-t26_1	 CNAG_00392	
CNA03810	CNA03810-t26_1	 CNAG_00393	
CNA03820	CNA03820-t26_1	 CNAG_00394	
CNA03830	CNA03830-t26_1	 CNAG_00395	
CNA03840	CNA03840-t26_1	 CNAG_00396	
CNA03850	CNA03850-t26_1	 CNAG_00397	
CNA03860	CNA03860-t26_1	 CNAG_00398	
CNA03870	CNA03870-t26_1	 CNAG_00399	
CNA03880	CNA03880-t26_1	 CNAG_00400	
CNA03890	CNA03890-t26_1	 CNAG_00401	
CNA03900	CNA03900-t26_1	 CNAG_00386, CNAG_00402	
CNA03910	CNA03910-t26_1	 CNAG_00403	
CNA03920	CNA03920-t26_1	 CNAG_10010	
CNA03930	CNA03930-t26_1	 CNAG_00404	
CNA03940	CNA03940-t26_1	 CNAG_00405	
CNA03950	CNA03950-t26_1	 CNAG_00406	
CNA03960	CNA03960-t26_1	 CNAG_00407	
CNA03970	CNA03970-t26_1	 CNAG_00408	
CNA03990	CNA03990-t26_1	 CNAG_00409	
CNA04000	CNA04000-t26_1	 CNAG_00410	
CNA04000	CNA04000-t26_2	 CNAG_00410	
CNA04010	CNA04010-t26_1	 CNAG_00411	
CNA04015	CNA04015-t26_1	 CNAG_00412	
CNA04020	CNA04020-t26_1	 CNAG_00413	
CNA04025	CNA04025-t26_1	 CNAG_00414	
CNA04030	CNA04030-t26_1	 CNAG_00415	
CNA04040	CNA04040-t26_1	 CNAG_00416	
CNA04050	CNA04050-t26_1	 CNAG_00417	
CNA04060	CNA04060-t26_1	 CNAG_00418	
CNA04063	CNA04063-t26_1	 CNAG_00419	
CNA04065	CNA04065-t26_1	 CNAG_00420	
CNA04070	CNA04070-t26_1	 CNAG_00421	
CNA04080	CNA04080-t26_1	 CNAG_00422	
CNA04090	CNA04090-t26_1	 CNAG_00423	
CNA04100	CNA04100-t26_1	 CNAG_00424	
CNA04110	CNA04110-t26_1	 CNAG_00426	
CNA04120	CNA04120-t26_1	 CNAG_00427	
CNA04130	CNA04130-t26_1	 CNAG_00428	
CNA04140	CNA04140-t26_1	 CNAG_00429	
CNA04145	CNA04145-t26_1	 CNAG_00430	
CNA04150	CNA04150-t26_1	 CNAG_07359	
CNA04160	CNA04160-t26_1	 CNAG_00433	
CNA04170	CNA04170-t26_1	 CNAG_00434	
CNA04180	CNA04180-t26_1	 CNAG_00435	
CNA04190	CNA04190-t26_1	 CNAG_00436	
CNA04200	CNA04200-t26_1	 CNAG_00437	
CNA04210	CNA04210-t26_1	 CNAG_00438	
CNA04220	CNA04220-t26_1	 CNAG_00439	
CNA04230	CNA04230-t26_1	 CNAG_00440	
CNA04240	CNA04240-t26_1	 CNAG_00441	
CNA04250	CNA04250-t26_1	 CNAG_00442	
CNA04260	CNA04260-t26_1	 CNAG_00443	
CNA04265	CNA04265-t26_1	 CNAG_00444	
CNA04270	CNA04270-t26_1	 CNAG_00445	
CNA04280	CNA04280-t26_1	 CNAG_00447	
CNA04290	CNA04290-t26_1	 CNAG_00448	
CNA04300	CNA04300-t26_1	 CNAG_00449	
CNA04310	CNA04310-t26_1	 CNAG_00450	
CNA04320	CNA04320-t26_1	 CNAG_00451	
CNA04330	CNA04330-t26_1	 CNAG_00452	
CNA04340	CNA04340-t26_1	 CNAG_00453	
CNA04340	CNA04340-t26_2	 CNAG_00453	
CNA04350	CNA04350-t26_1	 CNAG_00455	
CNA04360	CNA04360-t26_1	 CNAG_00456	
CNA04370	CNA04370-t26_1	 CNAG_00457	
CNA04370	CNA04370-t26_2	 CNAG_00457	
CNA04380	CNA04380-t26_1	 CNAG_00458	
CNA04380	CNA04380-t26_2	 CNAG_00458	
CNA04390	CNA04390-t26_1	 CNAG_07360	
CNA04400	CNA04400-t26_1	 CNAG_00460	
CNA04410	CNA04410-t26_1	 CNAG_00461	
CNA04420	CNA04420-t26_1	 CNAG_00462	
CNA04425	CNA04425-t26_1	 CNAG_00463	
CNA04430	CNA04430-t26_1	 CNAG_00464	
CNA04440	CNA04440-t26_1	 CNAG_10011	
CNA04450	CNA04450-t26_1	 CNAG_10012	
CNA04460	CNA04460-t26_1	 CNAG_00465	
CNA04470	CNA04470-t26_1	 CNAG_00466	
CNA04480	CNA04480-t26_1	 CNAG_00467	
CNA04490	CNA04490-t26_1	 CNAG_00468	
CNA04500	CNA04500-t26_1	 CNAG_00469	
CNA04510	CNA04510-t26_1	 CNAG_00470	
CNA04520	CNA04520-t26_1	 CNAG_00471	
CNA04530	CNA04530-t26_1	 CNAG_10013	
CNA04540	CNA04540-t26_1	 CNAG_00472	
CNA04550	CNA04550-t26_1	 CNAG_00473	
CNA04560	CNA04560-t26_1	 CNAG_00474	
CNA04570	CNA04570-t26_1	 CNAG_00475	
CNA04580	CNA04580-t26_1	 CNAG_00476	
CNA04590	CNA04590-t26_1	 CNAG_07361	
CNA04600	CNA04600-t26_1	 CNAG_07362	
CNA04610	CNA04610-t26_1	 CNAG_07363	
CNA04620	CNA04620-t26_1	 CNAG_00480	
CNA04630	CNA04630-t26_1	 CNAG_00481	
CNA04640	CNA04640-t26_1	 CNAG_00482	
CNA04650	CNA04650-t26_1	 CNAG_00483	
CNA04660	CNA04660-t26_1	 CNAG_00484	
CNA04670	CNA04670-t26_1	 CNAG_00485	
CNA04680	CNA04680-t26_1	 CNAG_00486	
CNA04685	CNA04685-t26_1	 CNAG_00487	
CNA04690	CNA04690-t26_1	 CNAG_00488	
CNA04695	CNA04695-t26_1	 CNAG_07952	
CNA04700	CNA04700-t26_1	 CNAG_00490	
CNA04710	CNA04710-t26_1	 CNAG_00491	
CNA04715	CNA04715-t26_1	 CNAG_00492	
CNA04720	CNA04720-t26_1	 CNAG_00493	
CNA04730	CNA04730-t26_1	 CNAG_07364	
CNA04740	CNA04740-t26_1	 CNAG_00495	
CNA04750	CNA04750-t26_1	 CNAG_00496	
CNA04760	CNA04760-t26_1	 CNAG_00497	
CNA04770	CNA04770-t26_1	 CNAG_00498	
CNA04780	CNA04780-t26_1	 CNAG_00499	
CNA04810	CNA04810-t26_1	 CNAG_07358	
CNA04830	CNA04830-t26_1	 CNAG_00500	
CNA04840	CNA04840-t26_1	 CNAG_00501	
CNA04850	CNA04850-t26_1	 CNAG_00502	
CNA04860	CNA04860-t26_1	 CNAG_00503	
CNA04870	CNA04870-t26_1	 CNAG_00504	
CNA04880	CNA04880-t26_1	 CNAG_00505	
CNA04890	CNA04890-t26_1	 CNAG_00506	
CNA04910	CNA04910-t26_1	 CNAG_00508	
CNA04920	CNA04920-t26_1	 CNAG_00509	
CNA04930	CNA04930-t26_1	 CNAG_00510	
CNA04935	CNA04935-t26_1	 CNAG_00511	
CNA04940	CNA04940-t26_1	 CNAG_00512	
CNA04950	CNA04950-t26_1	 CNAG_00513	
