[Gene ID]	[source_id]	[Input Ortholog(s)]	
CNAG_00043	CNAG_00043-t26_2	 CNA00320	
CNAG_00044	CNAG_00044-t26_1	 CNA00330	
CNAG_00045	CNAG_00045-t26_1	 CNA00340	
CNAG_00046	CNAG_00046-t26_1	 CNA00350	
CNAG_00047	CNAG_00047-t26_1	 CNA00360	
CNAG_00048	CNAG_00048-t26_1	 CNA00370	
CNAG_00049	CNAG_00049-t26_1	 CNA00380	
CNAG_00050	CNAG_00050-t26_1	 CNA00390	
CNAG_00051	CNAG_00051-t26_1	 CNA00400	
CNAG_00051	CNAG_00051-t26_2	 CNA00400	
CNAG_00052	CNAG_00052-t26_1	 CNA00410	
CNAG_00053	CNAG_00053-t26_1	 CNA00420	
CNAG_00054	CNAG_00054-t26_1	 CNA00430	
CNAG_00056	CNAG_00056-t26_1	 CNA00460	
CNAG_00057	CNAG_00057-t26_1	 CNA00470	
CNAG_00058	CNAG_00058-t26_1	 CNA00480	
CNAG_00059	CNAG_00059-t26_1	 CNA00485	
CNAG_00060	CNAG_00060-t26_1	 CNA00490	
CNAG_00060	CNAG_00060-t26_2	 CNA00490	
CNAG_00061	CNAG_00061-t26_1	 CNA00510	
CNAG_00062	CNAG_00062-t26_1	 CNA00530	
CNAG_00063	CNAG_00063-t26_1	 CNA00540	
CNAG_00064	CNAG_00064-t26_1	 CNA00550	
CNAG_00065	CNAG_00065-t26_1	 CNA00560	
CNAG_00066	CNAG_00066-t26_1	 CNA00570	
CNAG_00067	CNAG_00067-t26_1	 CNA00580	
CNAG_00068	CNAG_00068-t26_1	 CNA00590	
CNAG_00069	CNAG_00069-t26_1	 CNA00600	
CNAG_00070	CNAG_00070-t26_1	 CNA00610	
CNAG_00072	CNAG_00072-t26_1	 CNA00620	
CNAG_00073	CNAG_00073-t26_1	 CNA00630	
CNAG_00074	CNAG_00074-t26_1	 CNA00640	
CNAG_00075	CNAG_00075-t26_1	 CNA00650	
CNAG_00076	CNAG_00076-t26_1	 CNA00660	
CNAG_00077	CNAG_00077-t26_1	 CNA00670	
CNAG_00078	CNAG_00078-t26_1	 CNA00680	
CNAG_00079	CNAG_00079-t26_1	 CNA00690	
CNAG_00080	CNAG_00080-t26_1	 CNA00700	
CNAG_00081	CNAG_00081-t26_1	 CNA00710	
CNAG_00082	CNAG_00082-t26_1	 CNA00720	
CNAG_00083	CNAG_00083-t26_1	 CNA00730	
CNAG_00084	CNAG_00084-t26_1	 CNA00740	
CNAG_00085	CNAG_00085-t26_1	 CNA00750	
CNAG_00086	CNAG_00086-t26_1	 CNA00760	
CNAG_00087	CNAG_00087-t26_1	 CNA00770	
CNAG_00088	CNAG_00088-t26_1	 CNA00780	
CNAG_00089	CNAG_00089-t26_1	 CNA00790	
CNAG_00090	CNAG_00090-t26_1	 CNA00800	
CNAG_00090	CNAG_00090-t26_2	 CNA00800	
CNAG_00091	CNAG_00091-t26_1	 CNA00820	
CNAG_00092	CNAG_00092-t26_1	 CNA00830	
CNAG_00093	CNAG_00093-t26_1	 CNA00840	
CNAG_00094	CNAG_00094-t26_1	 CNA00850	
CNAG_00095	CNAG_00095-t26_1	 CNA00860	
CNAG_00096	CNAG_00096-t26_1	 CNA00870	
CNAG_00097	CNAG_00097-t26_1	 CNA00880	
CNAG_00098	CNAG_00098-t26_1	 CNA00890	
CNAG_00099	CNAG_00099-t26_1	 CNA00900	
CNAG_00100	CNAG_00100-t26_1	 CNA00910	
CNAG_00101	CNAG_00101-t26_1	 CNA00920	
CNAG_00104	CNAG_00104-t26_1	 CNA00950	
CNAG_00105	CNAG_00105-t26_1	 CNA00960	
CNAG_00106	CNAG_00106-t26_1	 CNA00970	
CNAG_00107	CNAG_00107-t26_1	 CNA00980	
CNAG_00108	CNAG_00108-t26_1	 CNA00990	
CNAG_00109	CNAG_00109-t26_1	 CNA01000	
CNAG_00109	CNAG_00109-t26_2	 CNA01000	
CNAG_00110	CNAG_00110-t26_1	 CNA01010	
CNAG_00111	CNAG_00111-t26_1	 CNA01020	
CNAG_00115	CNAG_00115-t26_1	 CNA01050	
CNAG_00116	CNAG_00116-t26_1	 CNA01060	
CNAG_00117	CNAG_00117-t26_1	 CNA01070	
CNAG_00118	CNAG_00118-t26_1	 CNA01080	
CNAG_00119	CNAG_00119-t26_1	 CNA01090	
CNAG_00120	CNAG_00120-t26_1	 CNA01095	
CNAG_00121	CNAG_00121-t26_1	 CNA01100	
CNAG_00122	CNAG_00122-t26_1	 CNA01120	
CNAG_00123	CNAG_00123-t26_1	 CNA01130	
CNAG_00124	CNAG_00124-t26_1	 CNA01140	
CNAG_00125	CNAG_00125-t26_1	 CNA01150	
CNAG_00126	CNAG_00126-t26_1	 CNA01160	
CNAG_00127	CNAG_00127-t26_1	 CNM00490	
CNAG_00129	CNAG_00129-t26_1	 CNA01170	
CNAG_00130	CNAG_00130-t26_1	 CNA01180	
CNAG_00131	CNAG_00131-t26_1	 CNA01190	
CNAG_00132	CNAG_00132-t26_1	 CNA01200	
CNAG_00132	CNAG_00132-t26_2	 CNA01200	
CNAG_00133	CNAG_00133-t26_1	 CNA01205	
CNAG_00134	CNAG_00134-t26_1	 CNA01210	
CNAG_00135	CNAG_00135-t26_1	 CNA01220	
CNAG_00136	CNAG_00136-t26_1	 CNA01230	
CNAG_00137	CNAG_00137-t26_1	 CNA01240	
CNAG_00138	CNAG_00138-t26_1	 CNA01250	
CNAG_00139	CNAG_00139-t26_1	 CNA01260	
CNAG_00140	CNAG_00140-t26_1	 CNA01270	
CNAG_00141	CNAG_00141-t26_1	 CNA01280	
CNAG_00142	CNAG_00142-t26_1	 CNA01290	
CNAG_00143	CNAG_00143-t26_1	 CNA01310	
CNAG_00144	CNAG_00144-t26_1	 CNA01320	
CNAG_00144	CNAG_00144-t26_2	 CNA01320	
CNAG_00145	CNAG_00145-t26_1	 CNA01330	
CNAG_00146	CNAG_00146-t26_1	 CNA01340	
CNAG_00147	CNAG_00147-t26_1	 CNA01350	
CNAG_00148	CNAG_00148-t26_1	 CNA01360	
CNAG_00149	CNAG_00149-t26_1	 CNA01370	
CNAG_00150	CNAG_00150-t26_1	 CNA01380	
CNAG_00151	CNAG_00151-t26_1	 CNA00520, CNA01390	
CNAG_00152	CNAG_00152-t26_1	 CNA01400	
CNAG_00153	CNAG_00153-t26_1	 CNA01410	
CNAG_00153	CNAG_00153-t26_2	 CNA01410	
CNAG_00154	CNAG_00154-t26_1	 CNA01420	
CNAG_00155	CNAG_00155-t26_1	 CNA01430	
CNAG_00156	CNAG_00156-t26_1	 CNA01450	
CNAG_00156	CNAG_00156-t26_2	 CNA01450	
CNAG_00157	CNAG_00157-t26_1	 CNA01460	
CNAG_00158	CNAG_00158-t26_1	 CNA01470	
CNAG_00160	CNAG_00160-t26_1	 CNA01480	
CNAG_00161	CNAG_00161-t26_1	 CNA01490	
CNAG_00162	CNAG_00162-t26_1	 CNA01500	
CNAG_00163	CNAG_00163-t26_1	 CNA01510	
CNAG_00163	CNAG_00163-t26_2	 CNA01510	
CNAG_00164	CNAG_00164-t26_1	 CNA01520	
CNAG_00165	CNAG_00165-t26_1	 CNA01530	
CNAG_00166	CNAG_00166-t26_1	 CNA01540	
CNAG_00167	CNAG_00167-t26_1	 CNA01550	
CNAG_00171	CNAG_00171-t26_1	 CNA01590	
CNAG_00172	CNAG_00172-t26_1	 CNA01600	
CNAG_00173	CNAG_00173-t26_1	 CNA01610	
CNAG_00174	CNAG_00174-t26_1	 CNA01620	
CNAG_00175	CNAG_00175-t26_1	 CNA01630	
CNAG_00176	CNAG_00176-t26_1	 CNA01640	
CNAG_00176	CNAG_00176-t26_2	 CNA01640	
CNAG_00177	CNAG_00177-t26_1	 CNA01650	
CNAG_00178	CNAG_00178-t26_1	 CNA01660	
CNAG_00179	CNAG_00179-t26_1	 CNA01680	
CNAG_00179	CNAG_00179-t26_2	 CNA01680	
CNAG_00180	CNAG_00180-t26_1	 CNA01690	
CNAG_00181	CNAG_00181-t26_1	 CNA01700	
CNAG_00182	CNAG_00182-t26_1	 CNA01710	
CNAG_00182	CNAG_00182-t26_2	 CNA01710	
CNAG_00183	CNAG_00183-t26_1	 CNA01720	
CNAG_00183	CNAG_00183-t26_2	 CNA01720	
CNAG_00184	CNAG_00184-t26_1	 CNA01730	
CNAG_00185	CNAG_00185-t26_1	 CNA01740	
CNAG_00186	CNAG_00186-t26_1	 CNA01750	
CNAG_00187	CNAG_00187-t26_1	 CNA01760	
CNAG_00188	CNAG_00188-t26_1	 CNA01770	
CNAG_00189	CNAG_00189-t26_1	 CNA01780	
CNAG_00190	CNAG_00190-t26_1	 CNA01790	
CNAG_00191	CNAG_00191-t26_1	 CNA01800	
CNAG_00192	CNAG_00192-t26_1	 CNA01810	
CNAG_00193	CNAG_00193-t26_1	 CNA01820	
CNAG_00194	CNAG_00194-t26_1	 CNA01830	
CNAG_00195	CNAG_00195-t26_1	 CNA01840	
CNAG_00231	CNAG_00231-t26_1	 CNA02210	
CNAG_00232	CNAG_00232-t26_1	 CNA02220	
CNAG_00233	CNAG_00233-t26_1	 CNA02230	
CNAG_00234	CNAG_00234-t26_1	 CNA02240	
CNAG_00235	CNAG_00235-t26_1	 CNA02250	
CNAG_00236	CNAG_00236-t26_1	 CNA02260	
CNAG_00237	CNAG_00237-t26_1	 CNA02270	
CNAG_00238	CNAG_00238-t26_1	 CNA02290	
CNAG_00239	CNAG_00239-t26_1	 CNA02300	
CNAG_00240	CNAG_00240-t26_1	 CNA02310	
CNAG_00241	CNAG_00241-t26_1	 CNA02330	
CNAG_00242	CNAG_00242-t26_1	 CNA02335	
CNAG_00243	CNAG_00243-t26_1	 CNA02340	
CNAG_00246	CNAG_00246-t26_1	 CNA02360	
CNAG_00247	CNAG_00247-t26_1	 CNA02370	
CNAG_00248	CNAG_00248-t26_1	 CNA02380	
CNAG_00249	CNAG_00249-t26_1	 CNA02390	
CNAG_00250	CNAG_00250-t26_1	 CNA02400	
CNAG_00251	CNAG_00251-t26_1	 CNA02405	
CNAG_00252	CNAG_00252-t26_1	 CNA02410	
CNAG_00252	CNAG_00252-t26_2	 CNA02410	
CNAG_00253	CNAG_00253-t26_1	 CNA02420	
CNAG_00254	CNAG_00254-t26_1	 CNA02430	
CNAG_00255	CNAG_00255-t26_1	 CNA02440	
CNAG_00256	CNAG_00256-t26_1	 CNA02450	
CNAG_00257	CNAG_00257-t26_1	 CNA02460	
CNAG_00257	CNAG_00257-t26_2	 CNA02460	
CNAG_00258	CNAG_00258-t26_1	 CNA02470	
CNAG_00259	CNAG_00259-t26_1	 CNA02480	
CNAG_00260	CNAG_00260-t26_1	 CNA02490	
CNAG_00261	CNAG_00261-t26_1	 CNA02520	
CNAG_00262	CNAG_00262-t26_1	 CNA02530	
CNAG_00262	CNAG_00262-t26_2	 CNA02530	
CNAG_00263	CNAG_00263-t26_1	 CNA02535	
CNAG_00264	CNAG_00264-t26_1	 CNA02540	
CNAG_00264	CNAG_00264-t26_2	 CNA02540	
CNAG_00265	CNAG_00265-t26_1	 CNA02550	
CNAG_00266	CNAG_00266-t26_1	 CNA02555	
CNAG_00267	CNAG_00267-t26_1	 CNA02560	
CNAG_00268	CNAG_00268-t26_1	 CNA02570	
CNAG_00269	CNAG_00269-t26_1	 CNA02580	
CNAG_00270	CNAG_00270-t26_1	 CNA02590	
CNAG_00271	CNAG_00271-t26_1	 CNA02600	
CNAG_00272	CNAG_00272-t26_1	 CNA02610	
CNAG_00273	CNAG_00273-t26_1	 CNA02620	
CNAG_00274	CNAG_00274-t26_1	 CNA02625	
CNAG_00275	CNAG_00275-t26_1	 CNA02630	
CNAG_00276	CNAG_00276-t26_1	 CNA02640	
CNAG_00277	CNAG_00277-t26_1	 CNA02645	
CNAG_00278	CNAG_00278-t26_1	 CNA02650	
CNAG_00279	CNAG_00279-t26_1	 CNA02660	
CNAG_00280	CNAG_00280-t26_1	 CNA02670	
CNAG_00283	CNAG_00283-t26_1	 CNA02710	
CNAG_00284	CNAG_00284-t26_1	 CNA02720	
CNAG_00284	CNAG_00284-t26_2	 CNA02720	
CNAG_00285	CNAG_00285-t26_1	 CNA02730	
CNAG_00286	CNAG_00286-t26_1	 CNA02740	
CNAG_00287	CNAG_00287-t26_1	 CNA02750	
CNAG_00288	CNAG_00288-t26_1	 CNA02760	
CNAG_00289	CNAG_00289-t26_1	 CNA02770	
CNAG_00290	CNAG_00290-t26_1	 CNA02780	
CNAG_00291	CNAG_00291-t26_1	 CNA02790	
CNAG_00292	CNAG_00292-t26_1	 CNA02800	
CNAG_00293	CNAG_00293-t26_1	 CNA02810	
CNAG_00294	CNAG_00294-t26_1	 CNA02820	
CNAG_00299	CNAG_00299-t26_1	 CNA02850	
CNAG_00300	CNAG_00300-t26_1	 CNA02860	
CNAG_00301	CNAG_00301-t26_1	 CNA02870	
CNAG_00302	CNAG_00302-t26_1	 CNA02875	
CNAG_00303	CNAG_00303-t26_1	 CNA02880	
CNAG_00303	CNAG_00303-t26_2	 CNA02880	
CNAG_00304	CNAG_00304-t26_1	 CNA02885	
CNAG_00305	CNAG_00305-t26_1	 CNA02890	
CNAG_00305	CNAG_00305-t26_2	 CNA02890	
CNAG_00306	CNAG_00306-t26_1	 CNA02900	
CNAG_00307	CNAG_00307-t26_1	 CNA02905	
CNAG_00308	CNAG_00308-t26_1	 CNA02910	
CNAG_00309	CNAG_00309-t26_1	 CNA02920	
CNAG_00310	CNAG_00310-t26_1	 CNA02930	
CNAG_00311	CNAG_00311-t26_1	 CNA02940	
CNAG_00312	CNAG_00312-t26_1	 CNA02950	
CNAG_00313	CNAG_00313-t26_1	 CNA02960	
CNAG_00314	CNAG_00314-t26_1	 CNA02970	
CNAG_00315	CNAG_00315-t26_1	 CNA02980	
CNAG_00316	CNAG_00316-t26_1	 CNA03000	
CNAG_00317	CNAG_00317-t26_1	 CNA03020	
CNAG_00318	CNAG_00318-t26_1	 CNA03030	
CNAG_00319	CNAG_00319-t26_1	 CNA03040	
CNAG_00319	CNAG_00319-t26_2	 CNA03040	
CNAG_00320	CNAG_00320-t26_1	 CNA03050	
CNAG_00321	CNAG_00321-t26_1	 CNA03060	
CNAG_00322	CNAG_00322-t26_1	 CNA03065	
CNAG_00326	CNAG_00326-t26_1	 CNA03090	
CNAG_00327	CNAG_00327-t26_1	 CNA03095	
CNAG_00328	CNAG_00328-t26_1	 CNA03100	
CNAG_00329	CNAG_00329-t26_1	 CNA03110	
CNAG_00330	CNAG_00330-t26_1	 CNA03120	
CNAG_00331	CNAG_00331-t26_1	 CNA03130	
CNAG_00332	CNAG_00332-t26_1	 CNA03140	
CNAG_00333	CNAG_00333-t26_1	 CNA03150	
CNAG_00334	CNAG_00334-t26_1	 CNA03160	
CNAG_00335	CNAG_00335-t26_1	 CNA03170	
CNAG_00337	CNAG_00337-t26_1	 CNA03180	
CNAG_00342	CNAG_00342-t26_1	 CNA03240	
CNAG_00343	CNAG_00343-t26_1	 CNA03250	
CNAG_00344	CNAG_00344-t26_1	 CNA03590	
CNAG_00345	CNAG_00345-t26_1	 CNA03580	
CNAG_00346	CNAG_00346-t26_1	 CNA03570	
CNAG_00347	CNAG_00347-t26_1	 CNA03560	
CNAG_00348	CNAG_00348-t26_1	 CNA03550	
CNAG_00349	CNAG_00349-t26_1	 CNA03540	
CNAG_00351	CNAG_00351-t26_1	 CNA03523	
CNAG_00352	CNAG_00352-t26_1	 CNA03520	
CNAG_00353	CNAG_00353-t26_1	 CNA03510	
CNAG_00354	CNAG_00354-t26_1	 CNA03500	
CNAG_00355	CNAG_00355-t26_1	 CNA03490	
CNAG_00356	CNAG_00356-t26_1	 CNA03480	
CNAG_00357	CNAG_00357-t26_1	 CNA03470	
CNAG_00357	CNAG_00357-t26_2	 CNA03470	
CNAG_00358	CNAG_00358-t26_1	 CNA03460	
CNAG_00358	CNAG_00358-t26_2	 CNA03460	
CNAG_00359	CNAG_00359-t26_1	 CNA03450	
CNAG_00360	CNAG_00360-t26_1	 CNA03430	
CNAG_00360	CNAG_00360-t26_2	 CNA03430	
CNAG_00361	CNAG_00361-t26_1	 CNA03420	
CNAG_00362	CNAG_00362-t26_1	 CNA03410	
CNAG_00363	CNAG_00363-t26_1	 CNA03400	
CNAG_00364	CNAG_00364-t26_1	 CNA03390	
CNAG_00365	CNAG_00365-t26_1	 CNA03380	
CNAG_00366	CNAG_00366-t26_1	 CNA03370	
CNAG_00367	CNAG_00367-t26_1	 CNA03360	
CNAG_00368	CNAG_00368-t26_1	 CNA03350	
CNAG_00369	CNAG_00369-t26_1	 CNA03340	
CNAG_00370	CNAG_00370-t26_1	 CNA03330	
CNAG_00371	CNAG_00371-t26_1	 CNA03320	
CNAG_00372	CNAG_00372-t26_1	 CNA03310	
CNAG_00373	CNAG_00373-t26_1	 CNA03300	
CNAG_00374	CNAG_00374-t26_1	 CNA03290	
CNAG_00375	CNAG_00375-t26_1	 CNA03280	
CNAG_00377	CNAG_00377-t26_1	 CNA03600	
CNAG_00377	CNAG_00377-t26_2	 CNA03600	
CNAG_00383	CNAG_00383-t26_1	 CNA03720	
CNAG_00384	CNAG_00384-t26_1	 CNA03725	
CNAG_00385	CNAG_00385-t26_1	 CNA03730	
CNAG_00386	CNAG_00386-t26_1	 CNA03740, CNA03900	
CNAG_00387	CNAG_00387-t26_1	 CNA03750	
CNAG_00388	CNAG_00388-t26_1	 CNA03760	
CNAG_00389	CNAG_00389-t26_1	 CNA03770	
CNAG_00390	CNAG_00390-t26_1	 CNA03790	
CNAG_00391	CNAG_00391-t26_1	 CNA03795	
CNAG_00392	CNAG_00392-t26_1	 CNA03800	
CNAG_00392	CNAG_00392-t26_2	 CNA03800	
CNAG_00393	CNAG_00393-t26_1	 CNA03810	
CNAG_00394	CNAG_00394-t26_1	 CNA03820	
CNAG_00395	CNAG_00395-t26_1	 CNA03830	
CNAG_00396	CNAG_00396-t26_1	 CNA03840	
CNAG_00397	CNAG_00397-t26_1	 CNA03850	
CNAG_00398	CNAG_00398-t26_1	 CNA03860	
CNAG_00399	CNAG_00399-t26_1	 CNA03870	
CNAG_00400	CNAG_00400-t26_1	 CNA03880	
CNAG_00400	CNAG_00400-t26_2	 CNA03880	
CNAG_00401	CNAG_00401-t26_1	 CNA03890	
CNAG_00402	CNAG_00402-t26_1	 CNA03740, CNA03900	
CNAG_00403	CNAG_00403-t26_1	 CNA03910	
CNAG_00404	CNAG_00404-t26_1	 CNA03930	
CNAG_00405	CNAG_00405-t26_1	 CNA03940	
CNAG_00406	CNAG_00406-t26_1	 CNA03950	
CNAG_00407	CNAG_00407-t26_1	 CNA03960	
CNAG_00408	CNAG_00408-t26_1	 CNA03970	
CNAG_00409	CNAG_00409-t26_1	 CNA03990	
CNAG_00410	CNAG_00410-t26_1	 CNA04000	
CNAG_00411	CNAG_00411-t26_1	 CNA04010	
CNAG_00412	CNAG_00412-t26_1	 CNA04015	
CNAG_00413	CNAG_00413-t26_1	 CNA04020	
CNAG_00414	CNAG_00414-t26_1	 CNA04025	
CNAG_00415	CNAG_00415-t26_1	 CNA04030	
CNAG_00416	CNAG_00416-t26_1	 CNA04040	
CNAG_00417	CNAG_00417-t26_1	 CNA04050	
CNAG_00418	CNAG_00418-t26_1	 CNA04060	
CNAG_00419	CNAG_00419-t26_1	 CNA04063	
CNAG_00420	CNAG_00420-t26_1	 CNA04065	
CNAG_00421	CNAG_00421-t26_1	 CNA04070	
CNAG_00422	CNAG_00422-t26_1	 CNA04080	
CNAG_00422	CNAG_00422-t26_2	 CNA04080	
CNAG_00423	CNAG_00423-t26_1	 CNA04090	
CNAG_00424	CNAG_00424-t26_1	 CNA04100	
CNAG_00426	CNAG_00426-t26_1	 CNA04110	
CNAG_00427	CNAG_00427-t26_1	 CNA04120	
CNAG_00428	CNAG_00428-t26_1	 CNA04130	
CNAG_00429	CNAG_00429-t26_1	 CNA04140	
CNAG_00430	CNAG_00430-t26_1	 CNA04145	
CNAG_00433	CNAG_00433-t26_1	 CNA04160	
CNAG_00434	CNAG_00434-t26_1	 CNA04170	
CNAG_00435	CNAG_00435-t26_1	 CNA04180	
CNAG_00436	CNAG_00436-t26_1	 CNA04190	
CNAG_00437	CNAG_00437-t26_1	 CNA04200	
CNAG_00438	CNAG_00438-t26_1	 CNA04210	
CNAG_00439	CNAG_00439-t26_1	 CNA04220	
CNAG_00440	CNAG_00440-t26_1	 CNA04230	
CNAG_00441	CNAG_00441-t26_1	 CNA04240	
CNAG_00442	CNAG_00442-t26_1	 CNA04250	
CNAG_00443	CNAG_00443-t26_1	 CNA04260	
CNAG_00444	CNAG_00444-t26_1	 CNA04265	
CNAG_00445	CNAG_00445-t26_1	 CNA04270	
CNAG_00447	CNAG_00447-t26_1	 CNA04280	
CNAG_00448	CNAG_00448-t26_1	 CNA04290	
CNAG_00449	CNAG_00449-t26_1	 CNA04300	
CNAG_00449	CNAG_00449-t26_2	 CNA04300	
CNAG_00450	CNAG_00450-t26_1	 CNA04310	
CNAG_00451	CNAG_00451-t26_1	 CNA04320	
CNAG_00452	CNAG_00452-t26_1	 CNA04330	
CNAG_00453	CNAG_00453-t26_1	 CNA04340	
CNAG_00455	CNAG_00455-t26_1	 CNA04350	
CNAG_00456	CNAG_00456-t26_1	 CNA04360	
CNAG_00457	CNAG_00457-t26_1	 CNA04370	
CNAG_00457	CNAG_00457-t26_2	 CNA04370	
CNAG_00458	CNAG_00458-t26_1	 CNA04380	
CNAG_00458	CNAG_00458-t26_2	 CNA04380	
CNAG_00460	CNAG_00460-t26_1	 CNA04400	
CNAG_00461	CNAG_00461-t26_1	 CNA04410	
CNAG_00462	CNAG_00462-t26_1	 CNA04420	
CNAG_00463	CNAG_00463-t26_1	 CNA04425	
CNAG_00464	CNAG_00464-t26_1	 CNA04430	
CNAG_00465	CNAG_00465-t26_1	 CNA04460	
CNAG_00466	CNAG_00466-t26_1	 CNA04470	
CNAG_00467	CNAG_00467-t26_1	 CNA04480	
CNAG_00467	CNAG_00467-t26_2	 CNA04480	
CNAG_00468	CNAG_00468-t26_1	 CNA04490	
CNAG_00469	CNAG_00469-t26_1	 CNA04500	
CNAG_00470	CNAG_00470-t26_1	 CNA04510	
CNAG_00471	CNAG_00471-t26_1	 CNA04520	
CNAG_00472	CNAG_00472-t26_1	 CNA04540	
CNAG_00473	CNAG_00473-t26_1	 CNA04550	
CNAG_00474	CNAG_00474-t26_1	 CNA04560	
CNAG_00475	CNAG_00475-t26_1	 CNA04570	
CNAG_00476	CNAG_00476-t26_1	 CNA04580	
CNAG_00480	CNAG_00480-t26_1	 CNA04620	
CNAG_00481	CNAG_00481-t26_1	 CNA04630	
CNAG_00482	CNAG_00482-t26_1	 CNA04640	
CNAG_00483	CNAG_00483-t26_1	 CNA04650	
CNAG_00484	CNAG_00484-t26_1	 CNA04660	
CNAG_00485	CNAG_00485-t26_1	 CNA04670	
CNAG_00486	CNAG_00486-t26_1	 CNA04680	
CNAG_00487	CNAG_00487-t26_1	 CNA04685	
CNAG_00488	CNAG_00488-t26_1	 CNA04690	
CNAG_00488	CNAG_00488-t26_2	 CNA04690	
CNAG_00490	CNAG_00490-t26_1	 CNA04700	
CNAG_00491	CNAG_00491-t26_1	 CNA04710	
CNAG_00492	CNAG_00492-t26_1	 CNA04715	
CNAG_00493	CNAG_00493-t26_1	 CNA04720	
CNAG_00495	CNAG_00495-t26_1	 CNA04740	
CNAG_00496	CNAG_00496-t26_1	 CNA04750	
CNAG_00497	CNAG_00497-t26_1	 CNA04760	
CNAG_00498	CNAG_00498-t26_1	 CNA04770	
CNAG_00499	CNAG_00499-t26_1	 CNA04780	
CNAG_00500	CNAG_00500-t26_1	 CNA04830	
CNAG_00501	CNAG_00501-t26_1	 CNA04840	
CNAG_00502	CNAG_00502-t26_1	 CNA04850	
CNAG_00503	CNAG_00503-t26_1	 CNA04860	
CNAG_00504	CNAG_00504-t26_1	 CNA04870	
CNAG_00505	CNAG_00505-t26_1	 CNA04880	
CNAG_00506	CNAG_00506-t26_1	 CNA04890	
CNAG_00508	CNAG_00508-t26_1	 CNA04910	
CNAG_00509	CNAG_00509-t26_1	 CNA04920	
CNAG_00510	CNAG_00510-t26_1	 CNA04930	
CNAG_00511	CNAG_00511-t26_1	 CNA04935	
CNAG_00512	CNAG_00512-t26_1	 CNA04940	
CNAG_00513	CNAG_00513-t26_1	 CNA04950	
CNAG_00514	CNAG_00514-t26_1	 CNA04960	
CNAG_00515	CNAG_00515-t26_1	 CNA04970	
CNAG_00515	CNAG_00515-t26_2	 CNA04970	
CNAG_00516	CNAG_00516-t26_1	 CNA04980	
CNAG_00517	CNAG_00517-t26_1	 CNA04990	
CNAG_00519	CNAG_00519-t26_1	 CNA05010	
CNAG_00520	CNAG_00520-t26_1	 CNA05020	
CNAG_00521	CNAG_00521-t26_1	 CNA05030	
CNAG_00522	CNAG_00522-t26_1	 CNA05040	
CNAG_00522	CNAG_00522-t26_2	 CNA05040	
CNAG_00523	CNAG_00523-t26_1	 CNA05050	
CNAG_00523	CNAG_00523-t26_2	 CNA05050	
CNAG_00524	CNAG_00524-t26_1	 CNA05060	
CNAG_00525	CNAG_00525-t26_1	 CNA05070	
CNAG_00526	CNAG_00526-t26_1	 CNA05080	
CNAG_00527	CNAG_00527-t26_1	 CNA05090	
CNAG_00528	CNAG_00528-t26_1	 CNA05100	
CNAG_00529	CNAG_00529-t26_1	 CNA05110	
CNAG_00531	CNAG_00531-t26_1	 CNA05130	
CNAG_00532	CNAG_00532-t26_1	 CNA05140	
