[Pathway Id]	[Pathway]	[Genes]	[Pathway Source]	
ec00230	Purine metabolism	CNAG_00179 | CNAG_00316 | CNAG_00441 | CNAG_00700 | CNAG_00719 | CNAG_00793 | CNAG_01072 | CNAG_01108 | CNAG_01179 | CNAG_01189 | CNAG_01212 | CNAG_01235 | CNAG_01282 | CNAG_01284 | CNAG_01340 | CNAG_01359 | CNAG_01364 | CNAG_01390 | CNAG_01444 | CNAG_01536 | CNAG_01634 | CNAG_01641 | CNAG_01810 | CNAG_01820 | CNAG_01877 | CNAG_01915 | CNAG_02007 | CNAG_02022 | CNAG_02034 | CNAG_02057 | CNAG_02160 | CNAG_02166 | CNAG_02171 | CNAG_02202 | CNAG_02208 | CNAG_02285 | CNAG_02294 | CNAG_02470 | CNAG_02546 | CNAG_02563 | CNAG_02575 | CNAG_02654 | CNAG_02663 | CNAG_02795 | CNAG_02817 | CNAG_02853 | CNAG_02858 | CNAG_02986 | CNAG_03203 | CNAG_03270 | CNAG_03335 | CNAG_03347 | CNAG_03452 | CNAG_03466 | CNAG_03521 | CNAG_03543 | CNAG_03634 | CNAG_03636 | CNAG_03730 | CNAG_03854 | CNAG_03899 | CNAG_03973 | CNAG_03987 | CNAG_04192 | CNAG_04215 | CNAG_04256 | CNAG_04286 | CNAG_04307 | CNAG_04354 | CNAG_04372 | CNAG_04505 | CNAG_04513 | CNAG_04577 | CNAG_04718 | CNAG_04728 | CNAG_04731 | CNAG_04732 | CNAG_04851 | CNAG_04859 | CNAG_05078 | CNAG_05081 | CNAG_05146 | CNAG_05172 | CNAG_05177 | CNAG_05226 | CNAG_05365 | CNAG_05540 | CNAG_05545 | CNAG_05597 | CNAG_05643 | CNAG_05822 | CNAG_05936 | CNAG_06059 | CNAG_06142 | CNAG_06313 | CNAG_06314 | CNAG_06333 | CNAG_06371 | CNAG_06489 | CNAG_06607 | CNAG_06611 | CNAG_06617 | CNAG_06634 | CNAG_06641 | CNAG_06694 | CNAG_06725 | CNAG_06734 | CNAG_06769 | CNAG_06930 | CNAG_06971 | CNAG_07347 | CNAG_07409 | CNAG_07424 | CNAG_07483 | CNAG_07524 | CNAG_07692 | CNAG_07766 | CNAG_07904	KEGG	
ec00231	Puromycin biosynthesis	CNAG_00131 | CNAG_00161 | CNAG_00162 | CNAG_00472 | CNAG_00576 | CNAG_00839 | CNAG_00984 | CNAG_01095 | CNAG_01102 | CNAG_01542 | CNAG_01605 | CNAG_01627 | CNAG_01714 | CNAG_01772 | CNAG_01981 | CNAG_02295 | CNAG_02417 | CNAG_02577 | CNAG_02692 | CNAG_02798 | CNAG_02839 | CNAG_02840 | CNAG_02862 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_03069 | CNAG_03194 | CNAG_03199 | CNAG_03213 | CNAG_03272 | CNAG_03361 | CNAG_03383 | CNAG_03410 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03754 | CNAG_03834 | CNAG_03865 | CNAG_03874 | CNAG_04187 | CNAG_04229 | CNAG_04453 | CNAG_04471 | CNAG_04521 | CNAG_04690 | CNAG_05024 | CNAG_05083 | CNAG_05090 | CNAG_05617 | CNAG_05906 | CNAG_06074 | CNAG_06169 | CNAG_06173 | CNAG_06241 | CNAG_06360 | CNAG_06554 | CNAG_06655 | CNAG_06815 | CNAG_06903 | CNAG_06910 | CNAG_07365 | CNAG_07865 | CNAG_07968 | CNAG_08017 | CNAG_08027	KEGG	
ec00232	Caffeine metabolism	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04307 | CNAG_04561 | CNAG_07389	KEGG	
ec00240	Pyrimidine metabolism	CNAG_00002 | CNAG_00105 | CNAG_00141 | CNAG_00142 | CNAG_00316 | CNAG_00343 | CNAG_00596 | CNAG_00734 | CNAG_00793 | CNAG_00836 | CNAG_00877 | CNAG_00934 | CNAG_00976 | CNAG_01044 | CNAG_01097 | CNAG_01116 | CNAG_01179 | CNAG_01189 | CNAG_01235 | CNAG_01257 | CNAG_01359 | CNAG_01444 | CNAG_01558 | CNAG_01615 | CNAG_01641 | CNAG_01777 | CNAG_01794 | CNAG_01810 | CNAG_01896 | CNAG_01914 | CNAG_01915 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02006 | CNAG_02022 | CNAG_02034 | CNAG_02078 | CNAG_02085 | CNAG_02160 | CNAG_02166 | CNAG_02171 | CNAG_02181 | CNAG_02182 | CNAG_02208 | CNAG_02226 | CNAG_02285 | CNAG_02337 | CNAG_02344 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02563 | CNAG_02592 | CNAG_02654 | CNAG_02663 | CNAG_02717 | CNAG_02794 | CNAG_02847 | CNAG_02881 | CNAG_03011 | CNAG_03170 | CNAG_03196 | CNAG_03203 | CNAG_03367 | CNAG_03400 | CNAG_03521 | CNAG_03634 | CNAG_03636 | CNAG_03730 | CNAG_03743 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04286 | CNAG_04372 | CNAG_04392 | CNAG_04513 | CNAG_04577 | CNAG_04657 | CNAG_04692 | CNAG_04728 | CNAG_04866 | CNAG_04955 | CNAG_04961 | CNAG_04983 | CNAG_05095 | CNAG_05146 | CNAG_05177 | CNAG_05396 | CNAG_05534 | CNAG_05600 | CNAG_05643 | CNAG_05847 | CNAG_05935 | CNAG_05936 | CNAG_05979 | CNAG_06027 | CNAG_06112 | CNAG_06141 | CNAG_06142 | CNAG_06333 | CNAG_06607 | CNAG_06611 | CNAG_06617 | CNAG_06634 | CNAG_06641 | CNAG_06708 | CNAG_06725 | CNAG_06734 | CNAG_06764 | CNAG_06769 | CNAG_07373 | CNAG_07409 | CNAG_07424 | CNAG_07483 | CNAG_07502 | CNAG_07692 | CNAG_07712 | CNAG_07766 | CNAG_07782 | CNAG_07801 | CNAG_07904	KEGG	
ec00250	Alanine, aspartate and glutamate metabolism	CNAG_00309 | CNAG_00457 | CNAG_00710 | CNAG_00879 | CNAG_00930 | CNAG_00976 | CNAG_01027 | CNAG_01076 | CNAG_01164 | CNAG_01577 | CNAG_02366 | CNAG_02455 | CNAG_02825 | CNAG_02852 | CNAG_02853 | CNAG_02858 | CNAG_03270 | CNAG_03436 | CNAG_04467 | CNAG_04469 | CNAG_04862 | CNAG_05075 | CNAG_05260 | CNAG_05425 | CNAG_06008 | CNAG_06026 | CNAG_06088 | CNAG_06112 | CNAG_07373 | CNAG_07579 | CNAG_07808	KEGG	
ec00253	Tetracycline biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00231 | CNAG_00259 | CNAG_00289 | CNAG_00365 | CNAG_00409 | CNAG_00434 | CNAG_00484 | CNAG_00644 | CNAG_00690 | CNAG_00750 | CNAG_00836 | CNAG_00874 | CNAG_01097 | CNAG_01104 | CNAG_01116 | CNAG_01137 | CNAG_01247 | CNAG_01257 | CNAG_01416 | CNAG_01489 | CNAG_01546 | CNAG_01558 | CNAG_01615 | CNAG_01656 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02583 | CNAG_02602 | CNAG_02717 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02841 | CNAG_02907 | CNAG_03011 | CNAG_03068 | CNAG_03400 | CNAG_03427 | CNAG_03540 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03942 | CNAG_03983 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04112 | CNAG_04188 | CNAG_04195 | CNAG_04209 | CNAG_04355 | CNAG_04383 | CNAG_04392 | CNAG_04417 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04657 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04955 | CNAG_05023 | CNAG_05095 | CNAG_05202 | CNAG_05217 | CNAG_05268 | CNAG_05376 | CNAG_05534 | CNAG_05672 | CNAG_05759 | CNAG_05842 | CNAG_05851 | CNAG_05979 | CNAG_06022 | CNAG_06027 | CNAG_06379 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06764 | CNAG_06891 | CNAG_06919 | CNAG_07570 | CNAG_07782 | CNAG_07801 | CNAG_07908 | CNAG_07937	KEGG	
ec00260	Glycine, serine and threonine metabolism	CNAG_00002 | CNAG_00029 | CNAG_00038 | CNAG_00105 | CNAG_00141 | CNAG_00182 | CNAG_00236 | CNAG_00256 | CNAG_00343 | CNAG_00413 | CNAG_00515 | CNAG_00637 | CNAG_00649 | CNAG_00774 | CNAG_00836 | CNAG_00968 | CNAG_01044 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01469 | CNAG_01558 | CNAG_01594 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01902 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01955 | CNAG_02006 | CNAG_02085 | CNAG_02181 | CNAG_02182 | CNAG_02226 | CNAG_02307 | CNAG_02473 | CNAG_02478 | CNAG_02489 | CNAG_02532 | CNAG_02553 | CNAG_02686 | CNAG_02717 | CNAG_02818 | CNAG_02903 | CNAG_02979 | CNAG_03011 | CNAG_03170 | CNAG_03389 | CNAG_03400 | CNAG_03562 | CNAG_03612 | CNAG_03743 | CNAG_03939 | CNAG_03983 | CNAG_04112 | CNAG_04156 | CNAG_04209 | CNAG_04347 | CNAG_04392 | CNAG_04519 | CNAG_04601 | CNAG_04657 | CNAG_04776 | CNAG_04866 | CNAG_04955 | CNAG_05029 | CNAG_05095 | CNAG_05258 | CNAG_05396 | CNAG_05398 | CNAG_05534 | CNAG_05622 | CNAG_05802 | CNAG_05979 | CNAG_06010 | CNAG_06018 | CNAG_06027 | CNAG_06035 | CNAG_06081 | CNAG_06316 | CNAG_06448 | CNAG_06764 | CNAG_06797 | CNAG_06876 | CNAG_06913 | CNAG_07004 | CNAG_07316 | CNAG_07411 | CNAG_07529 | CNAG_07712 | CNAG_07745 | CNAG_07748 | CNAG_07782 | CNAG_07801 | CNAG_07808	KEGG	
ec00270	Cysteine and methionine metabolism	CNAG_00021 | CNAG_00165 | CNAG_00231 | CNAG_00256 | CNAG_00259 | CNAG_00409 | CNAG_00418 | CNAG_00434 | CNAG_00637 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_00886 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_01609 | CNAG_01865 | CNAG_01890 | CNAG_02185 | CNAG_02270 | CNAG_02307 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02686 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03225 | CNAG_03266 | CNAG_03476 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03808 | CNAG_03828 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04136 | CNAG_04188 | CNAG_04195 | CNAG_04347 | CNAG_04375 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04776 | CNAG_04777 | CNAG_04826 | CNAG_04905 | CNAG_05028 | CNAG_05075 | CNAG_05122 | CNAG_05149 | CNAG_05202 | CNAG_05217 | CNAG_05273 | CNAG_05584 | CNAG_05611 | CNAG_05672 | CNAG_05676 | CNAG_05820 | CNAG_06022 | CNAG_06026 | CNAG_06088 | CNAG_06385 | CNAG_06448 | CNAG_06520 | CNAG_06555 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06913 | CNAG_06919	KEGG	
ec00280	Valine, leucine and isoleucine degradation	CNAG_00275 | CNAG_00311 | CNAG_00371 | CNAG_00397 | CNAG_00452 | CNAG_00490 | CNAG_00524 | CNAG_00735 | CNAG_01075 | CNAG_01078 | CNAG_01492 | CNAG_01671 | CNAG_02284 | CNAG_02377 | CNAG_02562 | CNAG_02590 | CNAG_02765 | CNAG_02896 | CNAG_02918 | CNAG_03067 | CNAG_03134 | CNAG_03311 | CNAG_03666 | CNAG_04308 | CNAG_04351 | CNAG_04531 | CNAG_04553 | CNAG_04688 | CNAG_05031 | CNAG_05113 | CNAG_05378 | CNAG_06370 | CNAG_06431 | CNAG_06628 | CNAG_07004	KEGG	
ec00281	Geraniol degradation	CNAG_00452 | CNAG_00490 | CNAG_01836 | CNAG_02449 | CNAG_02562 | CNAG_03067 | CNAG_03134 | CNAG_03666 | CNAG_03829 | CNAG_04308 | CNAG_04531 | CNAG_04553 | CNAG_04688 | CNAG_05029 | CNAG_05378 | CNAG_06010 | CNAG_06018 | CNAG_06431 | CNAG_06433	KEGG	
ec00290	Valine, leucine and isoleucine biosynthesis	CNAG_00237 | CNAG_00268 | CNAG_00450 | CNAG_00992 | CNAG_02565 | CNAG_05496 | CNAG_05497 | CNAG_05725 | CNAG_06370 | CNAG_06421 | CNAG_06540 | CNAG_07529	KEGG	
ec00300	Lysine biosynthesis	CNAG_00247 | CNAG_00256 | CNAG_00437 | CNAG_00677 | CNAG_00855 | CNAG_01137 | CNAG_01143 | CNAG_01217 | CNAG_01251 | CNAG_01692 | CNAG_01733 | CNAG_01746 | CNAG_02172 | CNAG_02216 | CNAG_02219 | CNAG_03149 | CNAG_03376 | CNAG_03427 | CNAG_03527 | CNAG_03607 | CNAG_03698 | CNAG_03807 | CNAG_03808 | CNAG_03823 | CNAG_03828 | CNAG_03839 | CNAG_03942 | CNAG_04159 | CNAG_04303 | CNAG_04328 | CNAG_04347 | CNAG_04668 | CNAG_04724 | CNAG_04776 | CNAG_05029 | CNAG_05034 | CNAG_05195 | CNAG_05355 | CNAG_05359 | CNAG_05376 | CNAG_05469 | CNAG_05537 | CNAG_05820 | CNAG_05896 | CNAG_06010 | CNAG_06018 | CNAG_06223 | CNAG_06376 | CNAG_06555 | CNAG_06639 | CNAG_06849 | CNAG_06892 | CNAG_07506 | CNAG_07769 | CNAG_07908	KEGG	
