Pathway Id	Map - Painted With Transformed Genes (new window)	Pathway	Unique Gene Count	Genes
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00040?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00040 (decorated)</a>"""	Pentose and glucuronate interconversions	54	CNAG_00105 | CNAG_00141 | CNAG_00251 | CNAG_00684 | CNAG_00735 | CNAG_00836 | CNAG_00854 | CNAG_01078 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01758 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02377 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02748 | CNAG_02925 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04374 | CNAG_04392 | CNAG_04394 | CNAG_04631 | CNAG_04657 | CNAG_04955 | CNAG_04969 | CNAG_05095 | CNAG_05113 | CNAG_05243 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06606 | CNAG_06628 | CNAG_06764 | CNAG_07731 | CNAG_07782 | CNAG_07801	
ec00051	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00051?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00051 (decorated)</a>"""	Fructose and mannose metabolism	103	CNAG_00005 | CNAG_00057 | CNAG_00105 | CNAG_00115 | CNAG_00141 | CNAG_00263 | CNAG_00269 | CNAG_00331 | CNAG_00390 | CNAG_00488 | CNAG_00827 | CNAG_00836 | CNAG_01050 | CNAG_01070 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01385 | CNAG_01395 | CNAG_01512 | CNAG_01558 | CNAG_01615 | CNAG_01675 | CNAG_01744 | CNAG_01777 | CNAG_01794 | CNAG_01813 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01949 | CNAG_01952 | CNAG_01954 | CNAG_02012 | CNAG_02035 | CNAG_02109 | CNAG_02181 | CNAG_02182 | CNAG_02312 | CNAG_02375 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02715 | CNAG_02717 | CNAG_02871 | CNAG_02892 | CNAG_03011 | CNAG_03113 | CNAG_03158 | CNAG_03320 | CNAG_03400 | CNAG_03560 | CNAG_03564 | CNAG_03648 | CNAG_03697 | CNAG_03832 | CNAG_03855 | CNAG_03983 | CNAG_04096 | CNAG_04112 | CNAG_04152 | CNAG_04209 | CNAG_04221 | CNAG_04312 | CNAG_04320 | CNAG_04392 | CNAG_04410 | CNAG_04475 | CNAG_04657 | CNAG_04676 | CNAG_04677 | CNAG_04744 | CNAG_04869 | CNAG_04955 | CNAG_05095 | CNAG_05148 | CNAG_05351 | CNAG_05534 | CNAG_05639 | CNAG_05658 | CNAG_05677 | CNAG_05692 | CNAG_05881 | CNAG_05979 | CNAG_06027 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_06501 | CNAG_06504 | CNAG_06606 | CNAG_06764 | CNAG_06770 | CNAG_06918 | CNAG_06922 | CNAG_07372 | CNAG_07527 | CNAG_07544 | CNAG_07547 | CNAG_07740 | CNAG_07782 | CNAG_07801	
ec00052	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00052?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00052 (decorated)</a>"""	Galactose metabolism	22	CNAG_00697 | CNAG_00831 | CNAG_02748 | CNAG_02790 | CNAG_03096 | CNAG_03532 | CNAG_03875 | CNAG_03946 | CNAG_04344 | CNAG_04676 | CNAG_04753 | CNAG_05430 | CNAG_05471 | CNAG_05913 | CNAG_06050 | CNAG_06051 | CNAG_06052 | CNAG_06055 | CNAG_06190 | CNAG_06260 | CNAG_06313 | CNAG_06924	
ec00053	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00053?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00053 (decorated)</a>"""	Ascorbate and aldarate metabolism	99	CNAG_00005 | CNAG_00030 | CNAG_00032 | CNAG_00105 | CNAG_00141 | CNAG_00251 | CNAG_00263 | CNAG_00331 | CNAG_00390 | CNAG_00488 | CNAG_00601 | CNAG_00644 | CNAG_00696 | CNAG_00735 | CNAG_00836 | CNAG_01078 | CNAG_01079 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01421 | CNAG_01512 | CNAG_01558 | CNAG_01615 | CNAG_01744 | CNAG_01776 | CNAG_01777 | CNAG_01794 | CNAG_01846 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01987 | CNAG_02012 | CNAG_02081 | CNAG_02109 | CNAG_02181 | CNAG_02182 | CNAG_02312 | CNAG_02375 | CNAG_02377 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02602 | CNAG_02717 | CNAG_02860 | CNAG_03011 | CNAG_03240 | CNAG_03400 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_03854 | CNAG_03983 | CNAG_04112 | CNAG_04152 | CNAG_04183 | CNAG_04209 | CNAG_04392 | CNAG_04410 | CNAG_04417 | CNAG_04475 | CNAG_04498 | CNAG_04657 | CNAG_04753 | CNAG_04869 | CNAG_04955 | CNAG_04969 | CNAG_05095 | CNAG_05113 | CNAG_05379 | CNAG_05534 | CNAG_05607 | CNAG_05639 | CNAG_05677 | CNAG_05692 | CNAG_05842 | CNAG_05915 | CNAG_05979 | CNAG_05991 | CNAG_06027 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_06504 | CNAG_06623 | CNAG_06628 | CNAG_06644 | CNAG_06764 | CNAG_06922 | CNAG_07544 | CNAG_07547 | CNAG_07731 | CNAG_07740 | CNAG_07782 | CNAG_07801	
ec00061	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00061?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00061 (decorated)</a>"""	Fatty acid biosynthesis	39	CNAG_00126 | CNAG_00234 | CNAG_00289 | CNAG_00365 | CNAG_00429 | CNAG_00484 | CNAG_00688 | CNAG_01137 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02099 | CNAG_02100 | CNAG_02259 | CNAG_02752 | CNAG_02969 | CNAG_03427 | CNAG_03455 | CNAG_03942 | CNAG_04097 | CNAG_04228 | CNAG_04242 | CNAG_04355 | CNAG_04383 | CNAG_04652 | CNAG_04926 | CNAG_05023 | CNAG_05268 | CNAG_05376 | CNAG_05644 | CNAG_05730 | CNAG_05759 | CNAG_05851 | CNAG_06379 | CNAG_06759 | CNAG_06997 | CNAG_07570 | CNAG_07908 | CNAG_07937	
ec00062	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00062?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00062 (decorated)</a>"""	Fatty acid elongation	11	CNAG_00098 | CNAG_00490 | CNAG_02372 | CNAG_02487 | CNAG_03080 | CNAG_03134 | CNAG_04308 | CNAG_04488 | CNAG_04531 | CNAG_04553 | CNAG_05378	
ec00071	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00071?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00071 (decorated)</a>"""	Fatty acid degradation	30	CNAG_00038 | CNAG_00452 | CNAG_00490 | CNAG_00515 | CNAG_00524 | CNAG_00735 | CNAG_01078 | CNAG_01955 | CNAG_02377 | CNAG_02489 | CNAG_02562 | CNAG_02903 | CNAG_02918 | CNAG_03019 | CNAG_03134 | CNAG_03666 | CNAG_04308 | CNAG_04485 | CNAG_04531 | CNAG_04553 | CNAG_04688 | CNAG_05113 | CNAG_05378 | CNAG_06035 | CNAG_06431 | CNAG_06551 | CNAG_06628 | CNAG_07316 | CNAG_07745 | CNAG_07747	
ec00072	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00072?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00072 (decorated)</a>"""	Synthesis and degradation of ketone bodies	6	CNAG_00524 | CNAG_02896 | CNAG_02918 | CNAG_03067 | CNAG_03311 | CNAG_05031	
ec00100	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00100?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00100 (decorated)</a>"""	Steroid biosynthesis	17	CNAG_00040 | CNAG_00117 | CNAG_00594 | CNAG_00644 | CNAG_00854 | CNAG_01737 | CNAG_02602 | CNAG_02830 | CNAG_03531 | CNAG_03819 | CNAG_04417 | CNAG_04605 | CNAG_05842 | CNAG_05860 | CNAG_06644 | CNAG_07437 | CNAG_07510	
ec00120	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00120?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00120 (decorated)</a>"""	Primary bile acid biosynthesis	6	CNAG_03134 | CNAG_03393 | CNAG_04274 | CNAG_04308 | CNAG_04553 | CNAG_05378	
ec00130	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00130?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00130 (decorated)</a>"""	Ubiquinone and other terpenoid-quinone biosynthesis	79	CNAG_00138 | CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00601 | CNAG_00644 | CNAG_00690 | CNAG_00696 | CNAG_00750 | CNAG_00863 | CNAG_00874 | CNAG_00993 | CNAG_01104 | CNAG_01416 | CNAG_01421 | CNAG_01546 | CNAG_01667 | CNAG_01987 | CNAG_02081 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02475 | CNAG_02583 | CNAG_02602 | CNAG_02609 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02860 | CNAG_02907 | CNAG_02996 | CNAG_03068 | CNAG_03185 | CNAG_03240 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03854 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04183 | CNAG_04188 | CNAG_04195 | CNAG_04264 | CNAG_04375 | CNAG_04417 | CNAG_04447 | CNAG_04487 | CNAG_04498 | CNAG_04561 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04934 | CNAG_05149 | CNAG_05202 | CNAG_05217 | CNAG_05607 | CNAG_05672 | CNAG_05676 | CNAG_05842 | CNAG_05915 | CNAG_05991 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06891 | CNAG_06919 | CNAG_07389	
ec00140	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00140?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00140 (decorated)</a>"""	Steroid hormone biosynthesis	44	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_00863 | CNAG_00993 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01498 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02996 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04264 | CNAG_04392 | CNAG_04561 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07389 | CNAG_07782 | CNAG_07801	
ec00190	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00190?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00190 (decorated)</a>"""	Oxidative phosphorylation	72	CNAG_00254 | CNAG_00448 | CNAG_00560 | CNAG_00573 | CNAG_00713 | CNAG_00894 | CNAG_00978 | CNAG_00990 | CNAG_01204 | CNAG_01287 | CNAG_01321 | CNAG_01323 | CNAG_01451 | CNAG_01470 | CNAG_01586 | CNAG_01799 | CNAG_01991 | CNAG_02140 | CNAG_02266 | CNAG_02315 | CNAG_02326 | CNAG_02443 | CNAG_02485 | CNAG_02545 | CNAG_02762 | CNAG_02833 | CNAG_02916 | CNAG_02938 | CNAG_02961 | CNAG_03025 | CNAG_03226 | CNAG_03359 | CNAG_03544 | CNAG_03565 | CNAG_03629 | CNAG_03861 | CNAG_04189 | CNAG_04378 | CNAG_04439 | CNAG_04612 | CNAG_04739 | CNAG_05041 | CNAG_05132 | CNAG_05162 | CNAG_05197 | CNAG_05434 | CNAG_05631 | CNAG_05633 | CNAG_05688 | CNAG_05750 | CNAG_05788 | CNAG_05839 | CNAG_05909 | CNAG_05918 | CNAG_06138 | CNAG_06147 | CNAG_06180 | CNAG_06400 | CNAG_06663 | CNAG_06767 | CNAG_07177 | CNAG_07356 | CNAG_07487 | CNAG_09000 | CNAG_09004 | CNAG_09005 | CNAG_09006 | CNAG_09007 | CNAG_09009 | CNAG_09010 | CNAG_09011 | CNAG_09012	
ec00195	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00195?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00195 (decorated)</a>"""	Photosynthesis	18	CNAG_00448 | CNAG_00894 | CNAG_00990 | CNAG_01204 | CNAG_01586 | CNAG_02326 | CNAG_02485 | CNAG_02762 | CNAG_02916 | CNAG_02961 | CNAG_04439 | CNAG_05162 | CNAG_05688 | CNAG_05750 | CNAG_05788 | CNAG_05918 | CNAG_06767 | CNAG_07487	
ec00230	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00230?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00230 (decorated)</a>"""	Purine metabolism	118	CNAG_00179 | CNAG_00316 | CNAG_00441 | CNAG_00700 | CNAG_00719 | CNAG_00793 | CNAG_01072 | CNAG_01108 | CNAG_01179 | CNAG_01189 | CNAG_01212 | CNAG_01235 | CNAG_01282 | CNAG_01284 | CNAG_01340 | CNAG_01359 | CNAG_01364 | CNAG_01390 | CNAG_01444 | CNAG_01536 | CNAG_01634 | CNAG_01641 | CNAG_01810 | CNAG_01820 | CNAG_01877 | CNAG_01915 | CNAG_02007 | CNAG_02022 | CNAG_02034 | CNAG_02057 | CNAG_02160 | CNAG_02166 | CNAG_02171 | CNAG_02202 | CNAG_02208 | CNAG_02285 | CNAG_02294 | CNAG_02470 | CNAG_02546 | CNAG_02563 | CNAG_02575 | CNAG_02654 | CNAG_02663 | CNAG_02795 | CNAG_02817 | CNAG_02853 | CNAG_02858 | CNAG_02986 | CNAG_03203 | CNAG_03270 | CNAG_03335 | CNAG_03347 | CNAG_03452 | CNAG_03466 | CNAG_03521 | CNAG_03543 | CNAG_03634 | CNAG_03636 | CNAG_03730 | CNAG_03854 | CNAG_03899 | CNAG_03973 | CNAG_03987 | CNAG_04192 | CNAG_04215 | CNAG_04256 | CNAG_04286 | CNAG_04307 | CNAG_04354 | CNAG_04372 | CNAG_04505 | CNAG_04513 | CNAG_04577 | CNAG_04718 | CNAG_04728 | CNAG_04731 | CNAG_04732 | CNAG_04851 | CNAG_04859 | CNAG_05078 | CNAG_05081 | CNAG_05146 | CNAG_05172 | CNAG_05177 | CNAG_05226 | CNAG_05365 | CNAG_05540 | CNAG_05545 | CNAG_05597 | CNAG_05643 | CNAG_05822 | CNAG_05936 | CNAG_06059 | CNAG_06142 | CNAG_06313 | CNAG_06314 | CNAG_06333 | CNAG_06371 | CNAG_06489 | CNAG_06607 | CNAG_06611 | CNAG_06617 | CNAG_06634 | CNAG_06641 | CNAG_06694 | CNAG_06725 | CNAG_06734 | CNAG_06769 | CNAG_06930 | CNAG_06971 | CNAG_07347 | CNAG_07409 | CNAG_07424 | CNAG_07483 | CNAG_07524 | CNAG_07692 | CNAG_07766 | CNAG_07904	
ec00231	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00231?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00231 (decorated)</a>"""	Puromycin biosynthesis	68	CNAG_00131 | CNAG_00161 | CNAG_00162 | CNAG_00472 | CNAG_00576 | CNAG_00839 | CNAG_00984 | CNAG_01095 | CNAG_01102 | CNAG_01542 | CNAG_01605 | CNAG_01627 | CNAG_01714 | CNAG_01772 | CNAG_01981 | CNAG_02295 | CNAG_02417 | CNAG_02577 | CNAG_02692 | CNAG_02798 | CNAG_02839 | CNAG_02840 | CNAG_02862 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_03069 | CNAG_03194 | CNAG_03199 | CNAG_03213 | CNAG_03272 | CNAG_03361 | CNAG_03383 | CNAG_03410 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03754 | CNAG_03834 | CNAG_03865 | CNAG_03874 | CNAG_04187 | CNAG_04229 | CNAG_04453 | CNAG_04471 | CNAG_04521 | CNAG_04690 | CNAG_05024 | CNAG_05083 | CNAG_05090 | CNAG_05617 | CNAG_05906 | CNAG_06074 | CNAG_06169 | CNAG_06173 | CNAG_06241 | CNAG_06360 | CNAG_06554 | CNAG_06655 | CNAG_06815 | CNAG_06903 | CNAG_06910 | CNAG_07365 | CNAG_07865 | CNAG_07968 | CNAG_08017 | CNAG_08027	
ec00232	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00232?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00232 (decorated)</a>"""	Caffeine metabolism	8	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04307 | CNAG_04561 | CNAG_07389	
ec00240	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00240?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00240 (decorated)</a>"""	Pyrimidine metabolism	123	CNAG_00002 | CNAG_00105 | CNAG_00141 | CNAG_00142 | CNAG_00316 | CNAG_00343 | CNAG_00596 | CNAG_00734 | CNAG_00793 | CNAG_00836 | CNAG_00877 | CNAG_00934 | CNAG_00976 | CNAG_01044 | CNAG_01097 | CNAG_01116 | CNAG_01179 | CNAG_01189 | CNAG_01235 | CNAG_01257 | CNAG_01359 | CNAG_01444 | CNAG_01558 | CNAG_01615 | CNAG_01641 | CNAG_01777 | CNAG_01794 | CNAG_01810 | CNAG_01896 | CNAG_01914 | CNAG_01915 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02006 | CNAG_02022 | CNAG_02034 | CNAG_02078 | CNAG_02085 | CNAG_02160 | CNAG_02166 | CNAG_02171 | CNAG_02181 | CNAG_02182 | CNAG_02208 | CNAG_02226 | CNAG_02285 | CNAG_02337 | CNAG_02344 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02563 | CNAG_02592 | CNAG_02654 | CNAG_02663 | CNAG_02717 | CNAG_02794 | CNAG_02847 | CNAG_02881 | CNAG_03011 | CNAG_03170 | CNAG_03196 | CNAG_03203 | CNAG_03367 | CNAG_03400 | CNAG_03521 | CNAG_03634 | CNAG_03636 | CNAG_03730 | CNAG_03743 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04286 | CNAG_04372 | CNAG_04392 | CNAG_04513 | CNAG_04577 | CNAG_04657 | CNAG_04692 | CNAG_04728 | CNAG_04866 | CNAG_04955 | CNAG_04961 | CNAG_04983 | CNAG_05095 | CNAG_05146 | CNAG_05177 | CNAG_05396 | CNAG_05534 | CNAG_05600 | CNAG_05643 | CNAG_05847 | CNAG_05935 | CNAG_05936 | CNAG_05979 | CNAG_06027 | CNAG_06112 | CNAG_06141 | CNAG_06142 | CNAG_06333 | CNAG_06607 | CNAG_06611 | CNAG_06617 | CNAG_06634 | CNAG_06641 | CNAG_06708 | CNAG_06725 | CNAG_06734 | CNAG_06764 | CNAG_06769 | CNAG_07373 | CNAG_07409 | CNAG_07424 | CNAG_07483 | CNAG_07502 | CNAG_07692 | CNAG_07712 | CNAG_07766 | CNAG_07782 | CNAG_07801 | CNAG_07904	
ec00250	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00250?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00250 (decorated)</a>"""	"Alanine, aspartate and glutamate metabolism"	31	CNAG_00309 | CNAG_00457 | CNAG_00710 | CNAG_00879 | CNAG_00930 | CNAG_00976 | CNAG_01027 | CNAG_01076 | CNAG_01164 | CNAG_01577 | CNAG_02366 | CNAG_02455 | CNAG_02825 | CNAG_02852 | CNAG_02853 | CNAG_02858 | CNAG_03270 | CNAG_03436 | CNAG_04467 | CNAG_04469 | CNAG_04862 | CNAG_05075 | CNAG_05260 | CNAG_05425 | CNAG_06008 | CNAG_06026 | CNAG_06088 | CNAG_06112 | CNAG_07373 | CNAG_07579 | CNAG_07808	
ec00253	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00253?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00253 (decorated)</a>"""	Tetracycline biosynthesis	109	CNAG_00105 | CNAG_00141 | CNAG_00231 | CNAG_00259 | CNAG_00289 | CNAG_00365 | CNAG_00409 | CNAG_00434 | CNAG_00484 | CNAG_00644 | CNAG_00690 | CNAG_00750 | CNAG_00836 | CNAG_00874 | CNAG_01097 | CNAG_01104 | CNAG_01116 | CNAG_01137 | CNAG_01247 | CNAG_01257 | CNAG_01416 | CNAG_01489 | CNAG_01546 | CNAG_01558 | CNAG_01615 | CNAG_01656 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02583 | CNAG_02602 | CNAG_02717 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02841 | CNAG_02907 | CNAG_03011 | CNAG_03068 | CNAG_03400 | CNAG_03427 | CNAG_03540 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03942 | CNAG_03983 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04112 | CNAG_04188 | CNAG_04195 | CNAG_04209 | CNAG_04355 | CNAG_04383 | CNAG_04392 | CNAG_04417 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04657 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04955 | CNAG_05023 | CNAG_05095 | CNAG_05202 | CNAG_05217 | CNAG_05268 | CNAG_05376 | CNAG_05534 | CNAG_05672 | CNAG_05759 | CNAG_05842 | CNAG_05851 | CNAG_05979 | CNAG_06022 | CNAG_06027 | CNAG_06379 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06764 | CNAG_06891 | CNAG_06919 | CNAG_07570 | CNAG_07782 | CNAG_07801 | CNAG_07908 | CNAG_07937	
ec00260	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
